Data Set No,Metallic Materials,Atomic/Molecular Weight(u),Density(g/cc),Temperature (K) at which test was performed,Melting Point(K),Strain rate,Heat capacity(KJ/kg.k),BCC,FCC,HCP,a,b,c,alpha,beta,gamma,Grain size(um),Yield point(stress),Elastic modulus
126,Vanadium,50.941,6.1,800,2183,0.001,0.49,1,0,0,3.03,3.03,3.03,90,90,90,100,127.125,6356.25
127,Vanadium,50.941,6.1,400,2183,0.001,0.49,1,0,0,3.03,3.03,3.03,90,90,90,100,124.498,6224.9
128,Copper,63.546,8.96,298,1358,0.0004,0.389,0,1,0,3.614,3.614,3.614,90,90,90,0.028,128.927,6446.349
129,Copper,63.546,8.96,298,1358,3400,0.389,0,1,0,3.614,3.614,3.614,90,90,90,0.028,137.705,6885.25
130,Copper,63.546,8.96,298,1358,3600,0.389,0,1,0,3.614,3.614,3.614,90,90,90,0.028,144.206,7210.299
131,Copper,63.546,8.96,298,1358,5000,0.389,0,1,0,3.614,3.614,3.614,90,90,90,0.028,149.896,7494.799
132,Copper,63.546,8.96,298,1358,5200,0.389,0,1,0,3.614,3.614,3.614,90,90,90,0.028,150.396,7519.799
133,Copper,63.546,8.96,298,1358,6500,0.389,0,1,0,3.614,3.614,3.614,90,90,90,0.028,151.228,7561.4
134,Copper,63.546,8.96,298,1358,14000,0.389,0,1,0,3.614,3.614,3.614,90,90,90,0.028,152.73,7636.499
135,Copper,63.546,8.96,298,1358,18000,0.389,0,1,0,3.614,3.614,3.614,90,90,90,0.028,157.05,7852.5
136,Tungsten,183.84,19.28,298,3695,0.005,0.132,1,0,0,3.165,3.165,3.165,90,90,90,20,1309.89,65494.5
137,Tungsten,183.84,19.28,298,3695,1,0.132,1,0,0,3.165,3.165,3.165,90,90,90,20,1650.422,50012.787
138,Tungsten,183.84,19.28,298,3695,4000,0.132,1,0,0,3.165,3.165,3.165,90,90,90,20,2189.7,40550.166
139,Tungsten,183.84,19.28,298,3695,8000,0.132,1,0,0,3.165,3.165,3.165,90,90,90,20,2281.135,69125.303
140,Tungsten,183.84,19.28,298,3695,0.005,0.132,1,0,0,3.165,3.165,3.165,90,90,90,0.5,1657.407,53464.71
141,Tungsten,183.84,19.28,298,3695,1,0.132,1,0,0,3.165,3.165,3.165,90,90,90,0.5,1948.745,42364.021
